"dormId","ratePlan","date","priceValue","priceCurrency","crawledAt","urlPart"
"276214","149356","2025-10-06","30.00","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276214","2016593","2025-10-06","28.20","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276213","149355","2025-10-06","32.00","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276212","149354","2025-10-06","36.00","NZD","1759690974","68091/2025-10-06/1759690974.json"
"286329","149357","2025-10-06","36.00","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276211","149353","2025-10-06","38.00","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276211","2016591","2025-10-06","36.10","NZD","1759690974","68091/2025-10-06/1759690974.json"
"276214","149356","2025-10-07","30.00","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276214","2016593","2025-10-07","28.20","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276213","149355","2025-10-07","32.00","NZD","1759690974","68091/2025-10-07/1759690974.json"
"286329","149357","2025-10-07","36.00","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276212","149354","2025-10-07","36.00","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276211","149353","2025-10-07","38.00","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276211","2016591","2025-10-07","36.10","NZD","1759690974","68091/2025-10-07/1759690974.json"
"276214","149356","2025-10-08","30.00","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276214","2016593","2025-10-08","28.20","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276213","149355","2025-10-08","32.00","NZD","1759690974","68091/2025-10-08/1759690974.json"
"286329","149357","2025-10-08","36.00","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276212","149354","2025-10-08","36.00","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276211","149353","2025-10-08","38.00","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276211","2016591","2025-10-08","36.10","NZD","1759690974","68091/2025-10-08/1759690974.json"
"276214","149356","2025-10-09","30.00","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276214","2016593","2025-10-09","28.20","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276213","149355","2025-10-09","32.00","NZD","1759690974","68091/2025-10-09/1759690974.json"
"286329","149357","2025-10-09","36.00","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276212","149354","2025-10-09","36.00","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276211","149353","2025-10-09","38.00","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276211","2016591","2025-10-09","36.10","NZD","1759690974","68091/2025-10-09/1759690974.json"
"276214","149356","2025-10-10","30.00","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276214","2016593","2025-10-10","28.20","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276213","149355","2025-10-10","32.00","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276212","149354","2025-10-10","36.00","NZD","1759690974","68091/2025-10-10/1759690974.json"
"286329","149357","2025-10-10","36.00","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276211","149353","2025-10-10","38.00","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276211","2016591","2025-10-10","36.10","NZD","1759690974","68091/2025-10-10/1759690974.json"
"276213","149355","2025-10-11","32.00","NZD","1759690974","68091/2025-10-11/1759690974.json"
"286329","149357","2025-10-11","36.00","NZD","1759690974","68091/2025-10-11/1759690974.json"
"276212","149354","2025-10-11","36.00","NZD","1759690974","68091/2025-10-11/1759690974.json"
"276211","149353","2025-10-11","38.00","NZD","1759690974","68091/2025-10-11/1759690974.json"
